case,T,J,level
policy,T3418,HR_M-far,0.0
policy,T3418,HR_L-near,0.0
policy,T3418,HR_L-far,0.0
policy,T3538,HR_S-near,6.058976110059742
policy,T3538,HR_S-far,5.524506456273333
policy,T3538,HR_M-near,9.170730002504634
policy,T3538,HR_M-far,8.608500254931819
policy,T3538,HR_L-near,12.095256463688937
policy,T3538,HR_L-far,11.842253077281168
policy,T3658,HR_S-near,0.0
policy,T3658,HR_S-far,0.0
policy,T3658,HR_M-near,0.0
policy,T3658,HR_M-far,0.0
policy,T3658,HR_L-near,0.0
policy,T3658,HR_L-far,0.0
policy,T3778,HR_S-near,0.0
policy,T3778,HR_S-far,0.0
policy,T3778,HR_M-near,0.0
policy,T3778,HR_M-far,0.0
policy,T3778,HR_L-near,0.0
policy,T3778,HR_L-far,0.0
policy,T3898,HR_S-near,0.0
policy,T3898,HR_S-far,0.0
policy,T3898,HR_M-near,0.0
policy,T3898,HR_M-far,0.0
policy,T3898,HR_L-near,0.0
policy,T3898,HR_L-far,0.0
policy,T4018,HR_S-near,0.0
policy,T4018,HR_S-far,0.0
policy,T4018,HR_M-near,0.0
policy,T4018,HR_M-far,0.0
policy,T4018,HR_L-near,0.0
policy,T4018,HR_L-far,0.0
policy,T4138,HR_S-near,0.0
policy,T4138,HR_S-far,0.0
policy,T4138,HR_M-near,0.0
policy,T4138,HR_M-far,0.0
policy,T4138,HR_L-near,0.0
policy,T4138,HR_L-far,0.0
policy,T4258,HR_S-near,0.0
policy,T4258,HR_S-far,0.0
policy,T4258,HR_M-near,0.0
policy,T4258,HR_M-far,0.0
policy,T4258,HR_L-near,0.0
policy,T4258,HR_L-far,0.0
policy,T4378,HR_S-near,1.3765571181100569
policy,T4378,HR_S-far,0.8953964315041674
policy,T4378,HR_M-near,4.62825720164339
policy,T4378,HR_M-far,4.122105263070463
policy,T4378,HR_L-near,7.638859452930621
policy,T4378,HR_L-far,7.411091080572806
policy,T4498,HR_S-near,0.0
policy,T4498,HR_S-far,0.0
policy,T4498,HR_M-near,0.0
policy,T4498,HR_M-far,0.0
policy,T4498,HR_L-near,0.0
policy,T4498,HR_L-far,0.0
policy,T4618,HR_S-near,0.0
policy,T4618,HR_S-far,0.0
policy,T4618,HR_M-near,0.0
policy,T4618,HR_M-far,0.0
policy,T4618,HR_L-near,0.0
policy,T4618,HR_L-far,0.0
policy,T4738,HR_S-near,2.4550282258424083
policy,T4738,HR_S-far,1.938798016207965
policy,T4738,HR_M-near,5.826162218366083
policy,T4738,HR_M-far,5.283119262800593
policy,T4738,HR_L-near,8.948610266657337
policy,T4738,HR_L-far,8.70424093665287
policy,T4858,HR_S-near,0.0
policy,T4858,HR_S-far,0.0
policy,T4858,HR_M-near,0.0
policy,T4858,HR_M-far,0.0
policy,T4858,HR_L-near,0.0
policy,T4858,HR_L-far,0.0
policy,T4978,HR_S-near,0.0
policy,T4978,HR_S-far,0.0
policy,T4978,HR_M-near,0.0
policy,T4978,HR_M-far,0.0
policy,T4978,HR_L-near,0.0
policy,T4978,HR_L-far,0.0
policy,T5098,HR_S-near,0.0
policy,T5098,HR_S-far,0.0
policy,T5098,HR_M-near,0.0
policy,T5098,HR_M-far,0.0
policy,T5098,HR_L-near,0.0
policy,T5098,HR_L-far,0.0
policy,T5218,HR_S-near,0.0
policy,T5218,HR_S-far,0.0
policy,T5218,HR_M-near,0.0
policy,T5218,HR_M-far,0.0
policy,T5218,HR_L-near,0.0
policy,T5218,HR_L-far,0.0
policy,T5338,HR_S-near,0.0
policy,T5338,HR_S-far,0.0
policy,T5338,HR_M-near,0.0
policy,T5338,HR_M-far,0.0
policy,T5338,HR_L-near,0.0
policy,T5338,HR_L-far,0.0
policy,T5458,HR_S-near,0.0
policy,T5458,HR_S-far,0.0
policy,T5458,HR_M-near,0.0
policy,T5458,HR_M-far,0.0
policy,T5458,HR_L-near,0.0
policy,T5458,HR_L-far,0.0
policy,T5578,HR_S-near,0.0
policy,T5578,HR_S-far,0.0
policy,T5578,HR_M-near,0.0
policy,T5578,HR_M-far,0.0
policy,T5578,HR_L-near,0.0
policy,T5578,HR_L-far,0.0
policy,T5698,HR_S-near,0.0
policy,T5698,HR_S-far,0.0
policy,T5698,HR_M-near,0.0
policy,T5698,HR_M-far,0.0
policy,T5698,HR_L-near,0.0
policy,T5698,HR_L-far,0.0
policy,T5818,HR_S-near,0.0
policy,T5818,HR_S-far,0.0
policy,T5818,HR_M-near,0.0
policy,T5818,HR_M-far,0.0
policy,T5818,HR_L-near,0.0
policy,T5818,HR_L-far,0.0
policy,T5938,HR_S-near,0.0
policy,T5938,HR_S-far,0.0
policy,T5938,HR_M-near,0.0
policy,T5938,HR_M-far,0.0
policy,T5938,HR_L-near,0.0
policy,T5938,HR_L-far,0.0
policy,T6058,HR_S-near,0.0
policy,T6058,HR_S-far,0.0
policy,T6058,HR_M-near,2.2924630420847905
policy,T6058,HR_M-far,1.7302332945119758
policy,T6058,HR_L-near,5.8754683511696975
policy,T6058,HR_L-far,5.622464964761928
policy,T6178,HR_S-near,0.0
policy,T6178,HR_S-far,0.0
policy,T6178,HR_M-near,0.0
policy,T6178,HR_M-far,0.0
policy,T6178,HR_L-near,0.0
policy,T6178,HR_L-far,0.0
policy,T6298,HR_S-near,3.1868583673313005
policy,T6298,HR_S-far,2.652388713544891
policy,T6298,HR_M-near,6.598299551213067
policy,T6298,HR_M-far,6.0360698036402525
policy,T6298,HR_L-near,9.775090144005947
policy,T6298,HR_L-far,9.522086757598178
policy,T6418,HR_S-near,2.75378540449514
policy,T6418,HR_S-far,2.2240570279644913
policy,T6418,HR_M-near,6.180261223712577
policy,T6418,HR_M-far,5.623019013029456
policy,T6418,HR_L-near,9.366169941274837
policy,T6418,HR_L-far,9.115410946467431
policy,T6538,HR_S-near,3.335490947592895
policy,T6538,HR_S-far,2.8010212938064853
policy,T6538,HR_M-near,6.730995941871242
policy,T6538,HR_M-far,6.168766194298428
policy,T6538,HR_L-near,9.894994220744557
policy,T6538,HR_L-far,9.641990834336788
policy,T6658,HR_S-near,0.9658270715981985
policy,T6658,HR_S-far,0.43135741781178893
policy,T6658,HR_M-near,4.6252754570500905
policy,T6658,HR_M-far,4.063045709477276
policy,T6658,HR_L-near,7.987161456417972
policy,T6658,HR_L-far,7.734158070010203
policy,T6778,HR_S-near,0.0
policy,T6778,HR_S-far,0.0
policy,T6778,HR_M-near,0.0
policy,T6778,HR_M-far,0.0
policy,T6778,HR_L-near,0.0
policy,T6778,HR_L-far,0.0
policy,T6898,HR_S-near,20.184068698395322
policy,T6898,HR_S-far,19.384151060821544
policy,T6898,HR_M-near,23.544293923916474
policy,T6898,HR_M-far,22.702828953424667
policy,T6898,HR_L-near,26.830806674911095
policy,T6898,HR_L-far,26.452147438189783
policy,T7018,HR_S-near,11.919495265833149
policy,T7018,HR_S-far,11.18660049325937
policy,T7018,HR_M-near,15.723730855423327
policy,T7018,HR_M-far,14.95276988493152
policy,T7018,HR_L-near,19.3230618798133
policy,T7018,HR_L-far,18.97612944309199
policy,T7138,HR_S-near,0.0
policy,T7138,HR_S-far,0.0
policy,T7138,HR_M-near,0.0
policy,T7138,HR_M-far,0.0
policy,T7138,HR_L-near,0.0
policy,T7138,HR_L-far,0.0
policy,T7258,HR_S-near,0.0
policy,T7258,HR_S-far,0.0
policy,T7258,HR_M-near,0.0
policy,T7258,HR_M-far,0.0
policy,T7258,HR_L-near,0.0
policy,T7258,HR_L-far,0.0
policy,T7378,HR_S-near,8.191238581277148
policy,T7378,HR_S-far,7.492431393104148
policy,T7378,HR_M-near,12.162208722467767
policy,T7378,HR_M-far,11.427105828926152
policy,T7378,HR_L-near,15.888357771138367
policy,T7378,HR_L-far,15.557561469044636
policy,T7498,HR_S-near,0.0
policy,T7498,HR_S-far,0.0
policy,T7498,HR_M-near,0.0
policy,T7498,HR_M-far,0.0
policy,T7498,HR_L-near,2.2943618895598448
policy,T7498,HR_L-far,2.0149906528385344
policy,T7618,HR_S-near,0.0
policy,T7618,HR_S-far,0.0
policy,T7618,HR_M-near,0.0
policy,T7618,HR_M-far,0.0
policy,T7618,HR_L-near,0.0
policy,T7618,HR_L-far,0.0
policy,T7738,HR_S-near,0.0
policy,T7738,HR_S-far,0.0
policy,T7738,HR_M-near,0.0
policy,T7738,HR_M-far,0.0
policy,T7738,HR_L-near,0.0
policy,T7738,HR_L-far,0.0
policy,T7858,HR_S-near,21.355925728212767
policy,T7858,HR_S-far,20.408605002202407
policy,T7858,HR_M-near,25.56633607964936
policy,T7858,HR_M-far,24.569811976022415
policy,T7858,HR_L-near,29.630216047567416
policy,T7858,HR_L-far,29.181780200935293
policy,T7978,HR_S-near,0.0
policy,T7978,HR_S-far,0.0
policy,T7978,HR_M-near,0.0
policy,T7978,HR_M-far,0.0
policy,T7978,HR_L-near,0.0
policy,T7978,HR_L-far,0.0
policy,T8098,HR_S-near,0.0
policy,T8098,HR_S-far,0.0
policy,T8098,HR_M-near,0.0
policy,T8098,HR_M-far,0.0
policy,T8098,HR_L-near,0.0
policy,T8098,HR_L-far,0.0
policy,T8218,HR_S-near,0.0
policy,T8218,HR_S-far,0.0
policy,T8218,HR_M-near,0.0
policy,T8218,HR_M-far,0.0
policy,T8218,HR_L-near,0.0
policy,T8218,HR_L-far,0.0
policy,T8338,HR_S-near,0.0
policy,T8338,HR_S-far,0.0
policy,T8338,HR_M-near,0.0
policy,T8338,HR_M-far,0.0
policy,T8338,HR_L-near,0.0
policy,T8338,HR_L-far,0.0
policy,T8458,HR_S-near,10.99527452951616
policy,T8458,HR_S-far,10.132097044505791
policy,T8458,HR_M-near,15.759249344729461
policy,T8458,HR_M-far,14.851238841102514
policy,T8458,HR_L-near,20.222337128229874
policy,T8458,HR_L-far,19.813732401597754
policy,T8578,HR_S-near,22.531879624022707
policy,T8578,HR_S-far,21.38230113069774
policy,T8578,HR_M-near,27.95778361435709
policy,T8578,HR_M-far,26.74849657338408
policy,T8578,HR_L-near,33.12976873561747
policy,T8578,HR_L-far,32.58558956717962
policy,T8698,HR_S-near,68.24162715592504
policy,T8698,HR_S-far,66.58776415460008
policy,T8698,HR_M-near,72.1195382055891
policy,T8698,HR_M-far,70.37977436461608
policy,T8698,HR_L-near,76.3446758017938
policy,T8698,HR_L-far,75.56178207335594
