case,T,J,level
policy,T0058,CHP_biofuel,0.0
policy,T0058,CHP_coal,33.15602093369255
policy,T0058,CHP_muniwaste,66.13117550113792
policy,T0058,CHP_natgas,7.071144204181789
policy,T0058,CHP_straw,41.358875241810836
policy,T0058,CHP_w-chip,34.21679597400908
policy,T0058,CHP_w-pellet,30.72458399269987
policy,T0058,CHP_w-waste,61.85979597400909
policy,T0058,FF_solar,16.876839473684214
policy,T0058,FF_industry,37.726087719298256
policy,T0058,HOB_biofuel,0.0
policy,T0058,HOB_elec,0.0
policy,T0058,HOB_gasoil,0.0
policy,T0058,HOB_muniwaste,34.208929239329564
policy,T0058,HOB_natgas,0.0
policy,T0058,HOB_straw,2.665360350877208
policy,T0058,HOB_w-chip,0.0
policy,T0058,HOB_w-pellet,0.0
policy,T0058,HOB_w-waste,27.643000000000008
policy,T0058,HP_ambient,0.0
policy,T0058,HP_industry,0.0
policy,T0178,CHP_biofuel,0.0
policy,T0178,CHP_coal,0.0
policy,T0178,CHP_muniwaste,50.8653094535283
policy,T0178,CHP_natgas,0.0
policy,T0178,CHP_straw,16.05497832181451
policy,T0178,CHP_w-chip,14.1643349399593
policy,T0178,CHP_w-pellet,1.7266969171085833
policy,T0178,CHP_w-waste,41.807334939959304
policy,T0178,FF_solar,26.13224164033296
policy,T0178,FF_industry,58.2936480896288
policy,T0178,HOB_biofuel,0.0
policy,T0178,HOB_elec,0.0
policy,T0178,HOB_gasoil,0.0
policy,T0178,HOB_muniwaste,55.928272990398625
policy,T0178,HOB_natgas,0.0
policy,T0178,HOB_straw,23.849947532317678
policy,T0178,HOB_w-chip,23.447018822176815
policy,T0178,HOB_w-pellet,10.207965218614703
policy,T0178,HOB_w-waste,51.09001882217682
policy,T0178,HP_ambient,0.0
policy,T0178,HP_industry,24.335810511347063
policy,T0298,CHP_biofuel,0.0
policy,T0298,CHP_coal,2.415480013562277
policy,T0298,CHP_muniwaste,56.45025852131677
policy,T0298,CHP_natgas,0.0
policy,T0298,CHP_straw,26.079323960407564
policy,T0298,CHP_w-chip,21.829762642854526
policy,T0298,CHP_w-pellet,13.390568158976098
policy,T0298,CHP_w-waste,49.472762642854526
policy,T0298,FF_solar,21.588636943620184
policy,T0298,FF_industry,48.19674876360041
policy,T0298,HOB_biofuel,0.0
policy,T0298,HOB_elec,0.0
policy,T0298,HOB_gasoil,0.0
policy,T0298,HOB_muniwaste,45.26594730211264
policy,T0298,HOB_natgas,0.0
policy,T0298,HOB_straw,13.450141226508428
policy,T0298,HOB_w-chip,11.93655359050446
policy,T0298,HOB_w-pellet,0.0
policy,T0298,HOB_w-waste,39.57955359050447
policy,T0298,HP_ambient,0.0
policy,T0298,HP_industry,0.0
policy,T0418,CHP_biofuel,0.0
policy,T0418,CHP_coal,19.33062528151865
policy,T0418,CHP_muniwaste,59.399643962676386
policy,T0418,CHP_natgas,0.0
policy,T0418,CHP_straw,32.90535188516748
policy,T0418,CHP_w-chip,26.535698566601678
policy,T0418,CHP_w-pellet,21.657923254444835
policy,T0418,CHP_w-waste,54.17869856660168
policy,T0418,FF_solar,16.876839473684214
policy,T0418,FF_industry,37.726087719298256
policy,T0418,HOB_biofuel,0.0
policy,T0418,HOB_elec,0.0
policy,T0418,HOB_gasoil,0.0
policy,T0418,HOB_muniwaste,34.208929239329564
policy,T0418,HOB_natgas,0.0
policy,T0418,HOB_straw,2.665360350877208
policy,T0418,HOB_w-chip,0.0
policy,T0418,HOB_w-pellet,0.0
policy,T0418,HOB_w-waste,27.643000000000008
policy,T0418,HP_ambient,0.0
policy,T0418,HP_industry,0.0
policy,T0538,CHP_biofuel,0.0
policy,T0538,CHP_coal,71.04126864795498
policy,T0538,CHP_muniwaste,83.27083719774313
policy,T0538,CHP_natgas,45.16292138109409
policy,T0538,CHP_straw,63.654644164844875
policy,T0538,CHP_w-chip,54.10551230708375
policy,T0538,CHP_w-pellet,54.87132661106404
policy,T0538,CHP_w-waste,81.74851230708376
policy,T0538,FF_solar,15.712361650485432
policy,T0538,FF_industry,35.13835922330097
policy,T0538,HOB_biofuel,0.0
policy,T0538,HOB_elec,0.0
policy,T0538,HOB_gasoil,0.0
policy,T0538,HOB_muniwaste,31.47628794755643
policy,T0538,HOB_natgas,0.0
policy,T0538,HOB_straw,0.0
policy,T0538,HOB_w-chip,0.0
policy,T0538,HOB_w-pellet,0.0
