case,T,J,value
baseline,T0538,CHP_w-chip,1.3018322082931535
baseline,T0538,CHP_w-pellet,1.544041450777202
baseline,T0538,CHP_w-waste,1.3018322082931535
baseline,T0538,FF_solar,2.2222222222222223
baseline,T0538,FF_industry,1.0
baseline,T0538,HOB_biofuel,0.970873786407767
baseline,T0538,HOB_elec,1.0101010101010102
baseline,T0538,HOB_gasoil,0.970873786407767
baseline,T0538,HOB_muniwaste,0.9469696969696969
baseline,T0538,HOB_natgas,0.970873786407767
baseline,T0538,HOB_straw,0.970873786407767
baseline,T0538,HOB_w-chip,0.8771929824561404
baseline,T0538,HOB_w-pellet,0.9891196834817014
baseline,T0538,HOB_w-waste,0.8771929824561404
baseline,T0538,HP_ambient,0.4452359750667854
baseline,T0538,HP_industry,0.3536067892503536
baseline,T0538,HR_S-near,0.33557046979865773
baseline,T0538,HR_S-far,0.33557046979865773
baseline,T0538,HR_M-near,0.29940119760479045
baseline,T0538,HR_M-far,0.29940119760479045
baseline,T0538,HR_L-near,0.27048958615093316
baseline,T0538,HR_L-far,0.27048958615093316
baseline,T0658,CHP_biofuel,2.0969560315670797
baseline,T0658,CHP_coal,1.7358490566037734
baseline,T0658,CHP_muniwaste,1.2732615083251715
baseline,T0658,CHP_natgas,2.70906949352179
baseline,T0658,CHP_straw,1.453252032520325
baseline,T0658,CHP_w-chip,1.3018322082931535
baseline,T0658,CHP_w-pellet,1.544041450777202
baseline,T0658,CHP_w-waste,1.3018322082931535
baseline,T0658,FF_solar,2.2222222222222223
baseline,T0658,FF_industry,1.0
baseline,T0658,HOB_biofuel,0.970873786407767
baseline,T0658,HOB_elec,1.0101010101010102
baseline,T0658,HOB_gasoil,0.970873786407767
baseline,T0658,HOB_muniwaste,0.9469696969696969
baseline,T0658,HOB_natgas,0.970873786407767
baseline,T0658,HOB_straw,0.970873786407767
baseline,T0658,HOB_w-chip,0.8771929824561404
baseline,T0658,HOB_w-pellet,0.9891196834817014
baseline,T0658,HOB_w-waste,0.8771929824561404
baseline,T0658,HP_ambient,0.4582951420714941
baseline,T0658,HP_industry,0.3536067892503536
baseline,T0658,HR_S-near,0.33557046979865773
baseline,T0658,HR_S-far,0.33557046979865773
baseline,T0658,HR_M-near,0.29940119760479045
baseline,T0658,HR_M-far,0.29940119760479045
baseline,T0658,HR_L-near,0.27048958615093316
baseline,T0658,HR_L-far,0.27048958615093316
baseline,T0778,CHP_biofuel,2.0969560315670797
baseline,T0778,CHP_coal,1.7358490566037734
baseline,T0778,CHP_muniwaste,1.2732615083251715
baseline,T0778,CHP_natgas,2.70906949352179
baseline,T0778,CHP_straw,1.453252032520325
baseline,T0778,CHP_w-chip,1.3018322082931535
baseline,T0778,CHP_w-pellet,1.544041450777202
baseline,T0778,CHP_w-waste,1.3018322082931535
baseline,T0778,FF_solar,2.2222222222222223
baseline,T0778,FF_industry,1.0
baseline,T0778,HOB_biofuel,0.970873786407767
baseline,T0778,HOB_elec,1.0101010101010102
baseline,T0778,HOB_gasoil,0.970873786407767
baseline,T0778,HOB_muniwaste,0.9469696969696969
baseline,T0778,HOB_natgas,0.970873786407767
baseline,T0778,HOB_straw,0.970873786407767
baseline,T0778,HOB_w-chip,0.8771929824561404
baseline,T0778,HOB_w-pellet,0.9891196834817014
baseline,T0778,HOB_w-waste,0.8771929824561404
baseline,T0778,HP_ambient,0.449034575662326
baseline,T0778,HP_industry,0.3536067892503536
baseline,T0778,HR_S-near,0.33557046979865773
baseline,T0778,HR_S-far,0.33557046979865773
baseline,T0778,HR_M-near,0.29940119760479045
baseline,T0778,HR_M-far,0.29940119760479045
baseline,T0778,HR_L-near,0.27048958615093316
baseline,T0778,HR_L-far,0.27048958615093316
baseline,T0898,CHP_biofuel,2.0969560315670797
baseline,T0898,CHP_coal,1.7358490566037734
baseline,T0898,CHP_muniwaste,1.2732615083251715
baseline,T0898,CHP_natgas,2.70906949352179
baseline,T0898,CHP_straw,1.453252032520325
baseline,T0898,CHP_w-chip,1.3018322082931535
baseline,T0898,CHP_w-pellet,1.544041450777202
baseline,T0898,CHP_w-waste,1.3018322082931535
baseline,T0898,FF_solar,2.2222222222222223
baseline,T0898,FF_industry,1.0
baseline,T0898,HOB_biofuel,0.970873786407767
baseline,T0898,HOB_elec,1.0101010101010102
baseline,T0898,HOB_gasoil,0.970873786407767
baseline,T0898,HOB_muniwaste,0.9469696969696969
baseline,T0898,HOB_natgas,0.970873786407767
baseline,T0898,HOB_straw,0.970873786407767
baseline,T0898,HOB_w-chip,0.8771929824561404
baseline,T0898,HOB_w-pellet,0.9891196834817014
baseline,T0898,HOB_w-waste,0.8771929824561404
baseline,T0898,HP_ambient,0.45454545454545453
baseline,T0898,HP_industry,0.3536067892503536
baseline,T0898,HR_S-near,0.33557046979865773
baseline,T0898,HR_S-far,0.33557046979865773
baseline,T0898,HR_M-near,0.29940119760479045
baseline,T0898,HR_M-far,0.29940119760479045
baseline,T0898,HR_L-near,0.27048958615093316
baseline,T0898,HR_L-far,0.27048958615093316
baseline,T1018,CHP_biofuel,2.0969560315670797
baseline,T1018,CHP_coal,1.7358490566037734
baseline,T1018,CHP_muniwaste,1.2732615083251715
baseline,T1018,CHP_natgas,2.70906949352179
baseline,T1018,CHP_straw,1.453252032520325
baseline,T1018,CHP_w-chip,1.3018322082931535
baseline,T1018,CHP_w-pellet,1.544041450777202
baseline,T1018,CHP_w-waste,1.3018322082931535
baseline,T1018,FF_solar,2.2222222222222223
baseline,T1018,FF_industry,1.0
baseline,T1018,HOB_biofuel,0.970873786407767
baseline,T1018,HOB_elec,1.0101010101010102
baseline,T1018,HOB_gasoil,0.970873786407767
baseline,T1018,HOB_muniwaste,0.9469696969696969
baseline,T1018,HOB_natgas,0.970873786407767
baseline,T1018,HOB_straw,0.970873786407767
baseline,T1018,HOB_w-chip,0.8771929824561404
baseline,T1018,HOB_w-pellet,0.9891196834817014
baseline,T1018,HOB_w-waste,0.8771929824561404
baseline,T1018,HP_ambient,0.4135649296939619
baseline,T1018,HP_industry,0.3536067892503536
baseline,T1018,HR_S-near,0.33557046979865773
baseline,T1018,HR_S-far,0.33557046979865773
baseline,T1018,HR_M-near,0.29940119760479045
baseline,T1018,HR_M-far,0.29940119760479045
baseline,T1018,HR_L-near,0.27048958615093316
baseline,T1018,HR_L-far,0.27048958615093316
baseline,T1138,CHP_biofuel,2.0969560315670797
baseline,T1138,CHP_coal,1.7358490566037734
baseline,T1138,CHP_muniwaste,1.2732615083251715
baseline,T1138,CHP_natgas,2.70906949352179
baseline,T1138,CHP_straw,1.453252032520325
baseline,T1138,CHP_w-chip,1.3018322082931535
baseline,T1138,CHP_w-pellet,1.544041450777202
baseline,T1138,CHP_w-waste,1.3018322082931535
baseline,T1138,FF_solar,2.2222222222222223
baseline,T1138,FF_industry,1.0
baseline,T1138,HOB_biofuel,0.970873786407767
baseline,T1138,HOB_elec,1.0101010101010102
baseline,T1138,HOB_gasoil,0.970873786407767
baseline,T1138,HOB_muniwaste,0.9469696969696969
baseline,T1138,HOB_natgas,0.970873786407767
baseline,T1138,HOB_straw,0.970873786407767
baseline,T1138,HOB_w-chip,0.8771929824561404
baseline,T1138,HOB_w-pellet,0.9891196834817014
baseline,T1138,HOB_w-waste,0.8771929824561404
baseline,T1138,HP_ambient,0.4203446826397646
baseline,T1138,HP_industry,0.3536067892503536
baseline,T1138,HR_S-near,0.33557046979865773
baseline,T1138,HR_S-far,0.33557046979865773
baseline,T1138,HR_M-near,0.29940119760479045
baseline,T1138,HR_M-far,0.29940119760479045
baseline,T1138,HR_L-near,0.27048958615093316
baseline,T1138,HR_L-far,0.27048958615093316
baseline,T1258,CHP_biofuel,2.0969560315670797
baseline,T1258,CHP_coal,1.7358490566037734
baseline,T1258,CHP_muniwaste,1.2732615083251715
baseline,T1258,CHP_natgas,2.70906949352179
baseline,T1258,CHP_straw,1.453252032520325
baseline,T1258,CHP_w-chip,1.3018322082931535
baseline,T1258,CHP_w-pellet,1.544041450777202
baseline,T1258,CHP_w-waste,1.3018322082931535
baseline,T1258,FF_solar,2.2222222222222223
baseline,T1258,FF_industry,1.0
baseline,T1258,HOB_biofuel,0.970873786407767
baseline,T1258,HOB_elec,1.0101010101010102
baseline,T1258,HOB_gasoil,0.970873786407767
baseline,T1258,HOB_muniwaste,0.9469696969696969
baseline,T1258,HOB_natgas,0.970873786407767
baseline,T1258,HOB_straw,0.970873786407767
baseline,T1258,HOB_w-chip,0.8771929824561404
baseline,T1258,HOB_w-pellet,0.9891196834817014
baseline,T1258,HOB_w-waste,0.8771929824561404
baseline,T1258,HP_ambient,0.4315925766076823
baseline,T1258,HP_industry,0.3536067892503536
baseline,T1258,HR_S-near,0.33557046979865773
baseline,T1258,HR_S-far,0.33557046979865773
baseline,T1258,HR_M-near,0.29940119760479045
baseline,T1258,HR_M-far,0.29940119760479045
baseline,T1258,HR_L-near,0.27048958615093316
baseline,T1258,HR_L-far,0.27048958615093316
baseline,T1378,CHP_biofuel,2.0969560315670797
baseline,T1378,CHP_coal,1.7358490566037734
baseline,T1378,CHP_muniwaste,1.2732615083251715
baseline,T1378,CHP_natgas,2.70906949352179
baseline,T1378,CHP_straw,1.453252032520325
baseline,T1378,CHP_w-chip,1.3018322082931535
baseline,T1378,CHP_w-pellet,1.544041450777202
baseline,T1378,CHP_w-waste,1.3018322082931535
baseline,T1378,FF_solar,2.2222222222222223
baseline,T1378,FF_industry,1.0
baseline,T1378,HOB_biofuel,0.970873786407767
baseline,T1378,HOB_elec,1.0101010101010102
baseline,T1378,HOB_gasoil,0.970873786407767
baseline,T1378,HOB_muniwaste,0.9469696969696969
baseline,T1378,HOB_natgas,0.970873786407767
baseline,T1378,HOB_straw,0.970873786407767
baseline,T1378,HOB_w-chip,0.8771929824561404
baseline,T1378,HOB_w-pellet,0.9891196834817014
baseline,T1378,HOB_w-waste,0.8771929824561404
baseline,T1378,HP_ambient,0.4366812227074236
baseline,T1378,HP_industry,0.3506311360448808
baseline,T1378,HR_S-near,0.3325573661456601
baseline,T1378,HR_S-far,0.3325573661456601
baseline,T1378,HR_M-near,0.29664787896766537
baseline,T1378,HR_M-far,0.29664787896766537
baseline,T1378,HR_L-near,0.2680246582685607
baseline,T1378,HR_L-far,0.2680246582685607
baseline,T1498,CHP_biofuel,2.0969560315670797
baseline,T1498,CHP_coal,1.7358490566037734
baseline,T1498,CHP_muniwaste,1.2732615083251715
baseline,T1498,CHP_natgas,2.70906949352179
baseline,T1498,CHP_straw,1.453252032520325
baseline,T1498,CHP_w-chip,1.3018322082931535
baseline,T1498,CHP_w-pellet,1.544041450777202
baseline,T1498,CHP_w-waste,1.3018322082931535
baseline,T1498,FF_solar,2.2222222222222223
baseline,T1498,FF_industry,1.0
baseline,T1498,HOB_biofuel,0.970873786407767
baseline,T1498,HOB_elec,1.0101010101010102
baseline,T1498,HOB_gasoil,0.970873786407767
baseline,T1498,HOB_muniwaste,0.9469696969696969
baseline,T1498,HOB_natgas,0.970873786407767
baseline,T1498,HOB_straw,0.970873786407767
baseline,T1498,HOB_w-chip,0.8771929824561404
baseline,T1498,HOB_w-pellet,0.9891196834817014
baseline,T1498,HOB_w-waste,0.8771929824561404
baseline,T1498,HP_ambient,0.4323389537397319
