case,ExpensesSummarySet,Case,value
policy,OPEX - DH,baseline,4007592.4420750737
policy,OPEX - DH,policy,2779862.361498055
policy,OPEX - HR,baseline,0.0
policy,OPEX - HR,policy,873028.084540322
policy,CAPEX - HR,baseline,0.0
policy,CAPEX - HR,policy,1162677.0972439176
