'CHP_biofuel','biofuel'
'CHP_coal','coal'
'CHP_muniwaste','municipal waste'
'CHP_natgas','natural gas'
'CHP_straw','straw'
'CHP_w-chip','wood chips'
'CHP_w-pellet','wood pellets'
'CHP_w-waste','wood waste'
'FF_solar','solar'
'FF_industry','industrial heat'
'HOB_biofuel','biofuel'
'HOB_elec','electricity'
'HOB_gasoil','gasoil'
'HOB_muniwaste','municipal waste'
'HOB_natgas','natural gas'
'HOB_straw','straw'
'HOB_w-chip','wood chips'
'HOB_w-pellet','wood pellets'
'HOB_w-waste','wood waste'
'HP_ambient','electricity'
'HP_industry','electricity'
'HR_S-near','electricity'
'HR_S-far','electricity'
'HR_M-near','electricity'
'HR_M-far','electricity'
'HR_L-near','electricity'
'HR_L-far','electricity'
