case,J,Case,value
policy,CHP_coal,baseline,8.952827885207022
policy,CHP_coal,policy,7.301595660564464
policy,CHP_muniwaste,baseline,19.930689619181983
policy,CHP_muniwaste,policy,18.77054866603657
policy,CHP_natgas,baseline,2.103531993248796
policy,CHP_natgas,policy,2.040190180770697
policy,CHP_straw,baseline,4.409380657792222
policy,CHP_straw,policy,3.42157671844851
policy,CHP_w-chip,baseline,13.416512629516392
policy,CHP_w-chip,policy,11.33672990054016
policy,CHP_w-pellet,baseline,11.695183768354507
policy,CHP_w-pellet,policy,8.539518496435804
policy,CHP_w-waste,baseline,2.3337975526287473
policy,CHP_w-waste,policy,2.0104468231482224
policy,FF_solar,baseline,2.778935988813006
policy,FF_solar,policy,2.406224512167368
policy,FF_industry,baseline,5.785681788111587
policy,FF_industry,policy,5.437827538979306
policy,HOB_muniwaste,baseline,1.6940992422581256
policy,HOB_muniwaste,policy,1.3807744817503502
policy,HOB_natgas,baseline,0.02081479147267726
policy,HOB_straw,baseline,18.260138295814333
policy,HOB_straw,policy,12.076782916635695
policy,HOB_w-chip,baseline,5.32877895015185
policy,HOB_w-chip,policy,2.5602191245168036
policy,HOB_w-pellet,baseline,0.6833534756132351
policy,HOB_w-pellet,policy,0.15149105623869508
policy,HOB_w-waste,baseline,1.3448320553560482
policy,HOB_w-waste,policy,0.9636259009460659
policy,HP_ambient,baseline,0.6906123836749382
policy,HP_ambient,policy,0.05956960114939321
policy,HP_industry,baseline,0.5708289228045189
policy,HP_industry,policy,0.18271645598090447
policy,HR_M-near,policy,5.533688984101047
policy,HR_M-far,policy,1.527051924805164
policy,HR_L-near,policy,7.501274811188236
policy,HR_L-far,policy,6.79814624559667
