case,T,J,level
policy,T0058,HR_S-near,0.0
policy,T0058,HR_S-far,0.0
policy,T0058,HR_M-near,5.112144446282009
policy,T0058,HR_M-far,4.549914698709195
policy,T0058,HR_L-near,13.394244094799632
policy,T0058,HR_L-far,13.141240708391862
policy,T0178,HR_S-near,43.930390222145
policy,T0178,HR_S-far,43.32419474957123
policy,T0178,HR_M-near,48.98464658099191
policy,T0178,HR_M-far,48.3469656105001
policy,T0178,HR_L-near,53.50865958751231
policy,T0178,HR_L-far,53.221703150791
policy,T0298,HR_S-near,19.974336177478058
policy,T0298,HR_S-far,19.43986652369165
policy,T0298,HR_M-near,27.133018065403867
policy,T0298,HR_M-far,26.570788317831052
policy,T0298,HR_L-near,33.2946520186148
policy,T0298,HR_L-far,33.04164863220703
policy,T0418,HR_S-near,0.0
policy,T0418,HR_S-far,0.0
policy,T0418,HR_M-near,8.899500759204333
policy,T0418,HR_M-far,8.402366374789267
policy,T0418,HR_L-near,16.414222102688797
policy,T0418,HR_L-far,16.190511629702016
policy,T0538,HR_S-near,0.0
policy,T0538,HR_S-far,0.0
policy,T0538,HR_M-near,0.0
policy,T0538,HR_M-far,0.0
policy,T0538,HR_L-near,0.0
policy,T0538,HR_L-far,0.0
policy,T0658,HR_S-near,11.098497251303563
policy,T0658,HR_S-far,10.564027597517153
policy,T0658,HR_M-near,19.213856388757172
policy,T0658,HR_M-far,18.651626641184357
policy,T0658,HR_L-near,26.140202464922623
policy,T0658,HR_L-far,25.887199078514854
policy,T0778,HR_S-near,0.0
policy,T0778,HR_S-far,0.0
policy,T0778,HR_M-near,0.0
policy,T0778,HR_M-far,0.0
policy,T0778,HR_L-near,0.16510689850898785
policy,T0778,HR_L-far,0.0
policy,T0898,HR_S-near,0.0
policy,T0898,HR_S-far,0.0
policy,T0898,HR_M-near,0.49868585348448846
policy,T0898,HR_M-far,0.0
policy,T0898,HR_L-near,8.83434538402351
policy,T0898,HR_L-far,8.60993674995549
policy,T1018,HR_S-near,5.866953627142486
policy,T1018,HR_S-far,5.3324839733560765
policy,T1018,HR_M-near,14.546191718098477
policy,T1018,HR_M-far,13.983961970525662
policy,T1018,HR_L-near,21.923269816829574
policy,T1018,HR_L-far,21.670266430421805
policy,T1138,HR_S-near,21.692456982847183
policy,T1138,HR_S-far,21.157987329060774
policy,T1138,HR_M-near,28.665952197140392
policy,T1138,HR_M-far,28.103722449567577
policy,T1138,HR_L-near,34.67955869970758
policy,T1138,HR_L-far,34.42655531329981
policy,T1258,HR_S-near,0.0
policy,T1258,HR_S-far,0.0
policy,T1258,HR_M-near,2.8792715086458855
policy,T1258,HR_M-far,2.4187295797884047
policy,T1258,HR_L-near,10.746192418368842
policy,T1258,HR_L-far,10.538948550382976
policy,T1378,HR_S-near,1.2087037948413837
policy,T1378,HR_S-far,0.6866681437212421
policy,T1378,HR_M-near,10.323147628974795
policy,T1378,HR_M-far,9.773997700117313
policy,T1378,HR_L-near,18.02059894715387
policy,T1378,HR_L-far,17.773481479168005
policy,T1498,HR_S-near,28.257634476329734
policy,T1498,HR_S-far,27.700100420319366
policy,T1498,HR_M-near,34.688199308348075
policy,T1498,HR_M-far,34.10170720472113
policy,T1498,HR_L-near,40.268355730024325
policy,T1498,HR_L-far,40.0044342833922
policy,T1618,HR_S-near,0.0
policy,T1618,HR_S-far,0.0
policy,T1618,HR_M-near,0.36017965566376375
policy,T1618,HR_M-far,0.0
policy,T1618,HR_L-near,7.836500914382871
policy,T1618,HR_L-far,7.674420069334175
policy,T1738,HR_S-near,28.96793404157458
policy,T1738,HR_S-far,28.409207521564213
policy,T1738,HR_M-near,35.30397170816974
policy,T1738,HR_M-far,34.716225204542795
policy,T1738,HR_L-near,0.0
policy,T1738,HR_L-far,40.57379339233101
