case,OperationalSummarySet,J,Case,value
policy,Capacity,HR_L-near,policy,531.6222441592629
policy,Capacity,HR_L-far,policy,351.31473892444205
policy,Production,HR_L-near,policy,19009.641025631103
policy,Production,HR_L-far,policy,10180.36251533914
