case,ExpensesSummarySet,Case,value
policy,OPEX - DH,baseline,4007592.4420750737
policy,OPEX - DH,policy,2910146.8776178584
policy,OPEX - HR,baseline,0.0
policy,OPEX - HR,policy,793712.625692142
policy,CAPEX - HR,baseline,0.0
policy,CAPEX - HR,policy,907884.8062851537
