,CHP_biofuel,CHP_coal,CHP_muniwaste,CHP_natgas,CHP_straw,CHP_w-chip,CHP_w-pellet,CHP_w-waste,FF_solar,FF_industry,HOB_biofuel,HOB_elec,HOB_gasoil,HOB_muniwaste,HOB_natgas,HOB_straw,HOB_w-chip,HOB_w-pellet,HOB_w-waste,HP_ambient,HP_industry,HR_S-near,HR_S-far,HR_M-near,HR_M-far,HR_L-near,HR_L-far
T5938,1,1,1,1,1,1,1,1,0.565,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T6058,1,1,1,1,1,1,1,1,0.333,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T6178,1,1,1,1,1,1,1,1,0.741,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T6298,1,1,1,1,1,1,1,1,0.303,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T6418,1,1,1,1,1,1,1,1,0.280,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T6538,1,1,1,1,1,1,1,1,0.353,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T6658,1,1,1,1,1,1,1,1,0.491,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T6778,1,1,1,1,1,1,1,1,0.120,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T6898,1,1,1,1,1,1,1,1,0.259,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T7018,1,1,1,1,1,1,1,1,0.201,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T7138,1,1,1,1,1,1,1,1,0.067,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T7258,1,1,1,1,1,1,1,1,0.244,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T7378,1,1,1,1,1,1,1,1,0.089,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T7498,1,1,1,1,1,1,1,1,0.113,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T7618,1,1,1,1,1,1,1,1,0.083,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T7738,1,1,1,1,1,1,1,1,0.073,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T7858,1,1,1,1,1,1,1,1,0.110,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T7978,1,1,1,1,1,1,1,1,0.322,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T8098,1,1,1,1,1,1,1,1,0.062,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T8218,1,1,1,1,1,1,1,1,0.028,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T8338,1,1,1,1,1,1,1,1,0.044,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T8458,1,1,1,1,1,1,1,1,0.034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T8578,1,1,1,1,1,1,1,1,0.054,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
T8698,1,1,1,1,1,1,1,1,0.144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
