case,ExpensesSummarySet,Case,value
policy,OPEX - DH,baseline,4007592.4420750737
policy,OPEX - DH,policy,3663162.7536118007
policy,OPEX - HR,baseline,0.0
policy,OPEX - HR,policy,273033.59681651124
policy,CAPEX - HR,baseline,0.0
policy,CAPEX - HR,policy,195123.926940135
