case,T,J,level
policy,T2098,HR_L-near,0.0
policy,T2098,HR_L-far,0.0
policy,T2218,HR_S-near,0.0
policy,T2218,HR_S-far,0.0
policy,T2218,HR_M-near,0.0
policy,T2218,HR_M-far,0.0
policy,T2218,HR_L-near,0.0
policy,T2218,HR_L-far,0.0
policy,T2338,HR_S-near,0.0
policy,T2338,HR_S-far,0.0
policy,T2338,HR_M-near,0.0
policy,T2338,HR_M-far,0.0
policy,T2338,HR_L-near,0.0
policy,T2338,HR_L-far,0.0
policy,T2458,HR_S-near,0.0
policy,T2458,HR_S-far,0.0
policy,T2458,HR_M-near,0.0
policy,T2458,HR_M-far,0.0
policy,T2458,HR_L-near,0.0
policy,T2458,HR_L-far,0.0
policy,T2578,HR_S-near,0.0
policy,T2578,HR_S-far,0.0
policy,T2578,HR_M-near,0.0
policy,T2578,HR_M-far,0.0
policy,T2578,HR_L-near,0.0
policy,T2578,HR_L-far,0.0
policy,T2698,HR_S-near,0.0
policy,T2698,HR_S-far,0.0
policy,T2698,HR_M-near,0.0
policy,T2698,HR_M-far,0.0
policy,T2698,HR_L-near,0.0
policy,T2698,HR_L-far,0.0
policy,T2818,HR_S-near,0.0
policy,T2818,HR_S-far,0.0
policy,T2818,HR_M-near,0.0
policy,T2818,HR_M-far,0.0
policy,T2818,HR_L-near,0.0
policy,T2818,HR_L-far,0.0
policy,T2938,HR_S-near,0.0
policy,T2938,HR_S-far,0.0
policy,T2938,HR_M-near,0.0
policy,T2938,HR_M-far,0.0
policy,T2938,HR_L-near,9.943614852735678
policy,T2938,HR_L-far,0.0
policy,T3058,HR_S-near,0.0
policy,T3058,HR_S-far,0.0
policy,T3058,HR_M-near,0.0
policy,T3058,HR_M-far,0.0
policy,T3058,HR_L-near,0.0
policy,T3058,HR_L-far,0.0
policy,T3178,HR_S-near,0.0
policy,T3178,HR_S-far,0.0
policy,T3178,HR_M-near,0.0
policy,T3178,HR_M-far,0.0
policy,T3178,HR_L-near,30.944136860094808
policy,T3178,HR_L-far,30.607881289939805
policy,T3298,HR_S-near,0.0
policy,T3298,HR_S-far,0.0
policy,T3298,HR_M-near,0.0
policy,T3298,HR_M-far,0.0
policy,T3298,HR_L-near,11.884890615903892
policy,T3298,HR_L-far,0.0
policy,T3418,HR_S-near,0.0
policy,T3418,HR_S-far,0.0
policy,T3418,HR_M-near,0.0
policy,T3418,HR_M-far,0.0
policy,T3418,HR_L-near,0.2107732850781817
policy,T3418,HR_L-far,0.0
policy,T3538,HR_S-near,0.0
policy,T3538,HR_S-far,0.0
policy,T3538,HR_M-near,0.0
policy,T3538,HR_M-far,0.0
policy,T3538,HR_L-near,7.452680345184227
policy,T3538,HR_L-far,7.3861491654581926
policy,T3658,HR_S-near,0.0
policy,T3658,HR_S-far,0.0
policy,T3658,HR_M-near,0.0
policy,T3658,HR_M-far,0.0
policy,T3658,HR_L-near,0.0
