case,ExpensesSummarySet,Case,value
policy,OPEX - DH,baseline,4007592.4420750737
policy,OPEX - DH,policy,3547186.4623877257
policy,OPEX - HR,baseline,0.0
policy,OPEX - HR,policy,328052.51706585614
policy,CAPEX - HR,baseline,0.0
policy,CAPEX - HR,policy,238633.4005853487
