case,ExpensesSummarySet,Case,value
policy,OPEX - DH,baseline,4007592.4420750737
policy,OPEX - DH,policy,2870897.8376396187
policy,OPEX - HR,baseline,0.0
policy,OPEX - HR,policy,796070.1729117165
policy,CAPEX - HR,baseline,0.0
policy,CAPEX - HR,policy,922737.2291528708
