case,T,J,level
policy,T0058,CHP_biofuel,0.0
policy,T0058,CHP_coal,36.52475615644538
policy,T0058,CHP_muniwaste,67.65265527762034
policy,T0058,CHP_natgas,9.09381731879958
policy,T0058,CHP_straw,41.35887524181083
policy,T0058,CHP_w-chip,34.21679597400908
policy,T0058,CHP_w-pellet,30.724583992699873
policy,T0058,CHP_w-waste,61.859795974009074
policy,T0058,FF_solar,16.876839473684214
policy,T0058,FF_industry,37.726087719298256
policy,T0058,HOB_biofuel,0.0
policy,T0058,HOB_elec,0.0
policy,T0058,HOB_gasoil,0.0
policy,T0058,HOB_muniwaste,35.73040901581198
policy,T0058,HOB_natgas,0.0
policy,T0058,HOB_straw,2.6653603508772084
policy,T0058,HOB_w-chip,0.0
policy,T0058,HOB_w-pellet,0.0
policy,T0058,HOB_w-waste,27.643000000000008
policy,T0058,HP_ambient,0.0
policy,T0058,HP_industry,0.0
policy,T0178,CHP_biofuel,0.0
policy,T0178,CHP_coal,0.0
policy,T0178,CHP_muniwaste,52.315272292644806
policy,T0178,CHP_natgas,0.0
policy,T0178,CHP_straw,15.992319015993075
policy,T0178,CHP_w-chip,14.094387551224234
policy,T0178,CHP_w-pellet,1.6677219695801497
policy,T0178,CHP_w-waste,41.73738755122424
policy,T0178,FF_solar,26.09126474673937
policy,T0178,FF_industry,58.20258832608749
policy,T0178,HOB_biofuel,0.0
policy,T0178,HOB_elec,0.0
policy,T0178,HOB_gasoil,0.0
policy,T0178,HOB_muniwaste,57.35359365658189
policy,T0178,HOB_natgas,0.0
policy,T0178,HOB_straw,23.75615597587013
policy,T0178,HOB_w-chip,23.343210691739728
policy,T0178,HOB_w-pellet,10.115903797674441
policy,T0178,HOB_w-waste,50.986210691739736
policy,T0178,HP_ambient,0.0
policy,T0178,HP_industry,24.295835275152427
policy,T0298,CHP_biofuel,0.0
policy,T0298,CHP_coal,5.784215236315095
policy,T0298,CHP_muniwaste,57.97173829779918
policy,T0298,CHP_natgas,0.0
policy,T0298,CHP_straw,26.079323960407564
policy,T0298,CHP_w-chip,21.829762642854522
policy,T0298,CHP_w-pellet,13.390568158976098
policy,T0298,CHP_w-waste,49.472762642854526
policy,T0298,FF_solar,21.588636943620184
policy,T0298,FF_industry,48.19674876360041
policy,T0298,HOB_biofuel,0.0
policy,T0298,HOB_elec,0.0
policy,T0298,HOB_gasoil,0.0
policy,T0298,HOB_muniwaste,46.78742707859505
policy,T0298,HOB_natgas,0.0
policy,T0298,HOB_straw,13.450141226508428
policy,T0298,HOB_w-chip,11.936553590504456
policy,T0298,HOB_w-pellet,0.0
policy,T0298,HOB_w-waste,39.57955359050446
policy,T0298,HP_ambient,0.0
policy,T0298,HP_industry,0.0
policy,T0418,CHP_biofuel,0.0
policy,T0418,CHP_coal,22.699360504271468
policy,T0418,CHP_muniwaste,60.921123739158794
policy,T0418,CHP_natgas,0.0
policy,T0418,CHP_straw,32.90535188516748
policy,T0418,CHP_w-chip,26.535698566601678
policy,T0418,CHP_w-pellet,21.657923254444835
policy,T0418,CHP_w-waste,54.17869856660168
policy,T0418,FF_solar,16.876839473684214
policy,T0418,FF_industry,37.726087719298256
policy,T0418,HOB_biofuel,0.0
