case,J,Case,value
policy,CHP_coal,baseline,8.952827885207022
policy,CHP_coal,policy,7.303406551227874
policy,CHP_muniwaste,baseline,19.930689619181983
policy,CHP_muniwaste,policy,18.774230992853322
policy,CHP_natgas,baseline,2.103531993248796
policy,CHP_natgas,policy,2.040219821692708
policy,CHP_straw,baseline,4.409380657792222
policy,CHP_straw,policy,3.4221946986453324
policy,CHP_w-chip,baseline,13.416512629516392
policy,CHP_w-chip,policy,11.339735955262041
policy,CHP_w-pellet,baseline,11.695183768354507
policy,CHP_w-pellet,policy,8.54077910248614
policy,CHP_w-waste,baseline,2.3337975526287473
policy,CHP_w-waste,policy,2.0104760319435857
policy,FF_solar,baseline,2.778935988813006
policy,FF_solar,policy,2.4068277408102214
policy,FF_industry,baseline,5.785681788111587
policy,FF_industry,policy,5.438474812294921
policy,HOB_muniwaste,baseline,1.6940992422581256
policy,HOB_muniwaste,policy,1.3807945423452466
policy,HOB_natgas,baseline,0.02081479147267726
policy,HOB_straw,baseline,18.260138295814333
policy,HOB_straw,policy,12.12012942471524
policy,HOB_w-chip,baseline,5.32877895015185
policy,HOB_w-chip,policy,2.56366593940985
policy,HOB_w-pellet,baseline,0.6833534756132351
policy,HOB_w-pellet,policy,0.15262979675322472
policy,HOB_w-waste,baseline,1.3448320553560482
policy,HOB_w-waste,policy,0.9636399009939276
policy,HP_ambient,baseline,0.6906123836749382
policy,HP_ambient,policy,0.05957046660689739
policy,HP_industry,baseline,0.5708289228045189
policy,HP_industry,policy,0.1832873803685256
policy,HR_M-near,policy,5.533769380352904
policy,HR_M-far,policy,1.4665386551819284
policy,HR_L-near,policy,7.501383793528545
policy,HR_L-far,policy,6.798245012527609
