case,T,level
policy,T0058,35.139359223300964
policy,T0178,49.539985855728425
policy,T0298,35.139359223300964
policy,T0418,35.139359223300964
policy,T0538,35.139359223300964
policy,T0658,35.139359223300964
policy,T0778,35.139359223300964
policy,T0898,35.139359223300964
policy,T1018,35.139359223300964
policy,T1138,36.95203879245281
policy,T1258,35.139359223300964
policy,T1378,35.139359223300964
policy,T1498,37.727087719298254
policy,T1618,35.139359223300964
policy,T1738,37.727087719298254
policy,T1858,26.07403879245281
policy,T1978,48.19774876360041
policy,T2098,14.57635647668394
policy,T2218,35.139359223300964
policy,T2338,26.793060655737715
policy,T2458,24.395560655737718
policy,T2578,20.50356065573772
policy,T2698,35.139359223300964
policy,T2818,15.02256065573772
policy,T2938,32.63775647668394
policy,T3058,15.844918211382101
policy,T3178,35.139359223300964
policy,T3298,29.421560655737714
policy,T3418,9.404658063113523
policy,T3538,3.352502056807049
policy,T3658,1.5865676716111778
policy,T3778,12.116255247360122
policy,T3898,3.8210810206836925
policy,T4018,2.403164825844854
policy,T4138,4.8928182113820995
policy,T4258,0.223
policy,T4378,0.001
policy,T4498,3.670940978940962
policy,T4618,0.001
policy,T4738,-0.3314979431929501
policy,T4858,-3.9374042007030923
policy,T4978,0.223
policy,T5098,1.7280028656638962
policy,T5218,-4.568446253718086
policy,T5338,0.001
policy,T5458,0.223
policy,T5578,0.001
policy,T5698,3.937814335447001
policy,T5818,7.128288347348835
policy,T5938,4.738733569195098
policy,T6058,-5.06549794319295
policy,T6178,7.040171290694012
policy,T6298,0.17250205680705033
policy,T6418,0.04950205680705011
policy,T6538,0.3225020568070498
policy,T6658,0.223
policy,T6778,15.726060655737719
policy,T6898,37.727087719298254
policy,T7018,37.727087719298254
policy,T7138,11.827456476683942
policy,T7258,35.139359223300964
policy,T7378,37.727087719298254
policy,T7498,37.727087719298254
policy,T7618,35.139359223300964
policy,T7738,35.139359223300964
policy,T7858,44.60806065573772
policy,T7978,35.139359223300964
policy,T8098,42.65504126347182
policy,T8218,35.139359223300964
policy,T8338,35.139359223300964
policy,T8458,48.19774876360041
policy,T8578,45.94125647668395
policy,T8698,97.38163879245282
