case,ExpensesSummarySet,Case,value
policy,OPEX - DH,baseline,4007592.4420750737
policy,OPEX - DH,policy,3379883.750722791
policy,OPEX - HR,baseline,0.0
policy,OPEX - HR,policy,432607.3659522192
policy,CAPEX - HR,baseline,0.0
policy,CAPEX - HR,policy,340273.9495991242
