case,T,level
policy,T0058,28.109386770312426
policy,T0178,39.85506065573772
policy,T0298,35.139359223300964
policy,T0418,19.30682231269452
policy,T0538,35.139359223300964
policy,T0658,14.561656476683943
policy,T0778,11.05909614884682
policy,T0898,19.134878728434416
policy,T1018,35.139359223300964
policy,T1138,35.139359223300964
policy,T1258,14.272676902577928
policy,T1378,21.677313980178738
policy,T1498,36.65575647668395
policy,T1618,13.478842105263158
policy,T1738,36.73415647668394
policy,T1858,23.685456476683946
policy,T1978,37.727087719298254
policy,T2098,10.45843879245281
policy,T2218,29.39395647668394
policy,T2338,0.223
policy,T2458,-3.8685620961911127
policy,T2578,11.1880182113821
policy,T2698,-13.96649794319295
policy,T2818,3.497370155555487
policy,T2938,23.43306065573772
policy,T3058,-5.458435556180461
policy,T3178,0.223
policy,T3298,0.001
policy,T3418,-14.85496993900616
policy,T3538,-34.182644403996804
policy,T3658,-18.264087812982574
policy,T3778,-12.143372754759561
policy,T3898,-15.730553102380306
policy,T4018,-20.662497943192946
policy,T4138,-13.375573092389523
policy,T4258,-20.237750815088425
policy,T4378,-36.68619994075593
policy,T4498,-15.947929596243178
policy,T4618,-18.064188595660347
policy,T4738,-32.26332595492731
policy,T4858,-24.115391949248064
policy,T4978,-17.84187438050182
policy,T5098,-18.112297422008155
policy,T5218,-24.816586723044182
policy,T5338,-21.772497943192946
policy,T5458,-17.160189456120307
policy,T5578,-17.061677733694438
policy,T5698,-20.21468564257661
policy,T5818,-17.024211630674777
policy,T5938,-19.413766408828515
policy,T6058,-26.87805361364915
policy,T6178,-12.109900009842406
policy,T6298,-31.305664565341033
policy,T6418,-31.66603527251663
policy,T6538,-31.454548759891416
policy,T6658,-1.73249794319295
policy,T6778,0.8763795522192765
policy,T6898,35.139359223300964
policy,T7018,35.139359223300964
policy,T7138,5.746038792452808
policy,T7258,26.27156065573772
policy,T7378,35.139359223300964
policy,T7498,35.139359223300964
policy,T7618,35.139359223300964
policy,T7738,32.067560655737715
policy,T7858,37.727087719298254
policy,T7978,35.139359223300964
policy,T8098,35.139359223300964
policy,T8218,34.33123879245281
policy,T8338,20.649402948586214
policy,T8458,37.727087719298254
policy,T8578,37.727087719298254
policy,T8698,65.28155647668395
