case,ExpensesSummarySet,Case,value
policy,OPEX - DH,baseline,4007592.4420750737
policy,OPEX - DH,policy,-894480.0444834206
policy,OPEX - HR,policy,9116019.837915312
policy,CAPEX - HR,policy,2450877.4015863594
