case,ExpensesSummarySet,Case,value
policy,OPEX - DH,baseline,4007592.4420750737
policy,OPEX - DH,policy,4017713.653641644
policy,OPEX - HR,baseline,0.0
policy,OPEX - HR,policy,0.0
policy,CAPEX - HR,baseline,0.0
policy,CAPEX - HR,policy,0.0
