timestep,HP_ambient,HP_industry,HR_small,HR_medium,HR_large
T1609,2.149,2.852,3.007,3.371,3.731
T1610,2.104,2.852,3.007,3.371,3.731
T1611,2.155,2.852,3.007,3.371,3.731
T1612,2.149,2.852,3.007,3.371,3.731
T1613,2.144,2.852,3.007,3.371,3.731
T1614,2.146,2.852,3.007,3.371,3.731
T1615,2.149,2.852,3.007,3.371,3.731
T1616,2.181,2.852,3.007,3.371,3.731
T1617,2.208,2.852,3.007,3.371,3.731
T1618,2.239,2.852,3.007,3.371,3.731
T1619,2.258,2.852,3.007,3.371,3.731
T1620,2.271,2.852,3.007,3.371,3.731
T1621,2.274,2.852,3.007,3.371,3.731
T1622,2.268,2.852,3.007,3.371,3.731
T1623,2.277,2.852,3.007,3.371,3.731
T1624,2.261,2.852,3.007,3.371,3.731
T1625,2.245,2.852,3.007,3.371,3.731
T1626,2.236,2.852,3.007,3.371,3.731
T1627,2.224,2.852,3.007,3.371,3.731
T1628,2.218,2.852,3.007,3.371,3.731
T1629,2.214,2.852,3.007,3.371,3.731
T1630,2.208,2.852,3.007,3.371,3.731
T1631,2.199,2.852,3.007,3.371,3.731
T1632,2.199,2.852,3.007,3.371,3.731
T1633,2.227,2.852,3.007,3.371,3.731
T1634,2.208,2.852,3.007,3.371,3.731
T1635,2.187,2.852,3.007,3.371,3.731
T1636,2.205,2.852,3.007,3.371,3.731
T1637,2.19,2.852,3.007,3.371,3.731
T1638,2.176,2.852,3.007,3.371,3.731
T1639,2.199,2.852,3.007,3.371,3.731
T1640,2.205,2.852,3.007,3.371,3.731
T1641,2.214,2.852,3.007,3.371,3.731
T1642,2.243,2.879,3.038,3.404,3.768
T1643,2.271,2.879,3.038,3.404,3.768
T1644,2.274,2.879,3.038,3.404,3.768
T1645,2.281,2.879,3.038,3.404,3.768
T1646,2.287,2.879,3.038,3.404,3.768
T1647,2.287,2.879,3.038,3.404,3.768
T1648,2.291,2.879,3.038,3.404,3.768
T1649,2.278,2.879,3.038,3.404,3.768
T1650,2.265,2.879,3.038,3.404,3.768
T1651,2.258,2.879,3.038,3.404,3.768
T1652,2.252,2.879,3.038,3.404,3.768
T1653,2.252,2.879,3.038,3.404,3.768
T1654,2.252,2.879,3.038,3.404,3.768
T1655,2.249,2.879,3.038,3.404,3.768
T1656,2.246,2.879,3.038,3.404,3.768
T1657,2.24,2.879,3.038,3.404,3.768
T1658,2.233,2.879,3.038,3.404,3.768
T1659,2.227,2.879,3.038,3.404,3.768
T1660,2.221,2.879,3.038,3.404,3.768
T1661,2.209,2.879,3.038,3.404,3.768
T1662,2.206,2.879,3.038,3.404,3.768
T1663,2.209,2.879,3.038,3.404,3.768
T1664,2.206,2.879,3.038,3.404,3.768
T1665,2.233,2.879,3.038,3.404,3.768
T1666,2.215,2.879,3.038,3.404,3.768
T1667,2.262,2.879,3.038,3.404,3.768
T1668,2.287,2.879,3.038,3.404,3.768
T1669,2.3,2.879,3.038,3.404,3.768
T1670,2.317,2.879,3.038,3.404,3.768
T1671,2.337,2.879,3.038,3.404,3.768
T1672,2.334,2.879,3.038,3.404,3.768
T1673,2.324,2.879,3.038,3.404,3.768
T1674,2.304,2.879,3.038,3.404,3.768
T1675,2.284,2.879,3.038,3.404,3.768
T1676,2.252,2.879,3.038,3.404,3.768
T1677,2.236,2.879,3.038,3.404,3.768
T1678,2.23,2.879,3.038,3.404,3.768
T1679,2.224,2.879,3.038,3.404,3.768
T1680,2.218,2.879,3.038,3.404,3.768
T1681,2.221,2.879,3.038,3.404,3.768
T1682,2.215,2.879,3.038,3.404,3.768
T1683,2.212,2.879,3.038,3.404,3.768
T1684,2.203,2.879,3.038,3.404,3.768
T1685,2.206,2.879,3.038,3.404,3.768
T1686,2.203,2.879,3.038,3.404,3.768
T1687,2.2,2.879,3.038,3.404,3.768
T1688,2.212,2.879,3.038,3.404,3.768
T1689,2.24,2.879,3.038,3.404,3.768
T1690,2.278,2.879,3.038,3.404,3.768
T1691,2.307,2.879,3.038,3.404,3.768
T1692,2.327,2.879,3.038,3.404,3.768
T1693,2.337,2.879,3.038,3.404,3.768
T1694,2.331,2.879,3.038,3.404,3.768
T1695,2.327,2.879,3.038,3.404,3.768
T1696,2.32,2.879,3.038,3.404,3.768
T1697,2.307,2.879,3.038,3.404,3.768
T1698,2.297,2.879,3.038,3.404,3.768
T1699,2.281,2.879,3.038,3.404,3.768
T1700,2.243,2.879,3.038,3.404,3.768
T1701,2.255,2.879,3.038,3.404,3.768
T1702,2.262,2.879,3.038,3.404,3.768
T1703,2.243,2.879,3.038,3.404,3.768
T1704,2.249,2.879,3.038,3.404,3.768
T1705,2.274,2.879,3.038,3.404,3.768
T1706,2.3,2.879,3.038,3.404,3.768
T1707,2.324,2.879,3.038,3.404,3.768
T1708,2.368,2.879,3.038,3.404,3.768
T1709,2.382,2.879,3.038,3.404,3.768
T1710,2.379,2.879,3.038,3.404,3.768
T1711,2.361,2.879,3.038,3.404,3.768
T1712,2.365,2.879,3.038,3.404,3.768
T1713,2.372,2.879,3.038,3.404,3.768
T1714,2.375,2.879,3.038,3.404,3.768
T1715,2.386,2.879,3.038,3.404,3.768
T1716,2.4,2.879,3.038,3.404,3.768
T1717,2.451,2.879,3.038,3.404,3.768
T1718,2.545,2.879,3.038,3.404,3.768
T1719,2.577,2.879,3.038,3.404,3.768
T1720,2.594,2.879,3.038,3.404,3.768
T1721,2.59,2.879,3.038,3.404,3.768
T1722,2.586,2.879,3.038,3.404,3.768
T1723,2.561,2.879,3.038,3.404,3.768
T1724,2.553,2.879,3.038,3.404,3.768
T1725,2.569,2.879,3.038,3.404,3.768
T1726,2.557,2.879,3.038,3.404,3.768
T1727,2.553,2.879,3.038,3.404,3.768
T1728,2.529,2.879,3.038,3.404,3.768
T1729,2.521,2.879,3.038,3.404,3.768
T1730,2.497,2.879,3.038,3.404,3.768
T1731,2.493,2.879,3.038,3.404,3.768
T1732,2.493,2.879,3.038,3.404,3.768
T1733,2.497,2.879,3.038,3.404,3.768
T1734,2.489,2.879,3.038,3.404,3.768
T1735,2.482,2.879,3.038,3.404,3.768
T1736,2.463,2.879,3.038,3.404,3.768
T1737,2.486,2.879,3.038,3.404,3.768
T1738,2.482,2.879,3.038,3.404,3.768
T1739,2.407,2.879,3.038,3.404,3.768
T1740,2.327,2.879,3.038,3.404,3.768
T1741,2.324,2.879,3.038,3.404,3.768
T1742,2.372,2.879,3.038,3.404,3.768
T1743,2.393,2.879,3.038,3.404,3.768
T1744,2.4,2.879,3.038,3.404,3.768
T1745,2.397,2.879,3.038,3.404,3.768
T1746,2.393,2.879,3.038,3.404,3.768
T1747,2.365,2.879,3.038,3.404,3.768
T1748,2.331,2.879,3.038,3.404,3.768
T1749,2.31,2.879,3.038,3.404,3.768
T1750,2.294,2.879,3.038,3.404,3.768
T1751,2.287,2.879,3.038,3.404,3.768
T1752,2.262,2.879,3.038,3.404,3.768
T1753,2.227,2.879,3.038,3.404,3.768
T1754,2.246,2.879,3.038,3.404,3.768
T1755,2.23,2.879,3.038,3.404,3.768
T1756,2.224,2.879,3.038,3.404,3.768
T1757,2.24,2.879,3.038,3.404,3.768
T1758,2.236,2.879,3.038,3.404,3.768
T1759,2.236,2.879,3.038,3.404,3.768
T1760,2.252,2.879,3.038,3.404,3.768
T1761,2.284,2.879,3.038,3.404,3.768
T1762,2.32,2.879,3.038,3.404,3.768
T1763,2.354,2.879,3.038,3.404,3.768
T1764,2.375,2.879,3.038,3.404,3.768
T1765,2.404,2.879,3.038,3.404,3.768
T1766,2.386,2.879,3.038,3.404,3.768
T1767,2.375,2.879,3.038,3.404,3.768
T1768,2.386,2.879,3.038,3.404,3.768
T1769,2.368,2.879,3.038,3.404,3.768
T1770,2.348,2.879,3.038,3.404,3.768
T1771,2.331,2.879,3.038,3.404,3.768
T1772,2.236,2.879,3.038,3.404,3.768
T1773,2.255,2.879,3.038,3.404,3.768
T1774,2.291,2.879,3.038,3.404,3.768
T1775,2.307,2.879,3.038,3.404,3.768
T1776,2.3,2.879,3.038,3.404,3.768
T1777,2.287,2.879,3.038,3.404,3.768
T1778,2.271,2.879,3.038,3.404,3.768
T1779,2.274,2.879,3.038,3.404,3.768
T1780,2.265,2.879,3.038,3.404,3.768
T1781,2.236,2.879,3.038,3.404,3.768
T1782,2.176,2.879,3.038,3.404,3.768
T1783,2.191,2.879,3.038,3.404,3.768
T1784,2.243,2.879,3.038,3.404,3.768
T1785,2.287,2.879,3.038,3.404,3.768
T1786,2.32,2.879,3.038,3.404,3.768
T1787,2.32,2.879,3.038,3.404,3.768
T1788,2.344,2.879,3.038,3.404,3.768
T1789,2.344,2.879,3.038,3.404,3.768
T1790,2.344,2.879,3.038,3.404,3.768
T1791,2.348,2.879,3.038,3.404,3.768
T1792,2.351,2.879,3.038,3.404,3.768
T1793,2.348,2.879,3.038,3.404,3.768
T1794,2.334,2.879,3.038,3.404,3.768
T1795,2.324,2.879,3.038,3.404,3.768
T1796,2.327,2.879,3.038,3.404,3.768
T1797,2.327,2.879,3.038,3.404,3.768
T1798,2.334,2.879,3.038,3.404,3.768
T1799,2.344,2.879,3.038,3.404,3.768
T1800,2.348,2.879,3.038,3.404,3.768
T1801,2.351,2.879,3.038,3.404,3.768
T1802,2.351,2.879,3.038,3.404,3.768
T1803,2.348,2.879,3.038,3.404,3.768
T1804,2.348,2.879,3.038,3.404,3.768
T1805,2.351,2.879,3.038,3.404,3.768
T1806,2.348,2.879,3.038,3.404,3.768
T1807,2.344,2.879,3.038,3.404,3.768
T1808,2.348,2.879,3.038,3.404,3.768
T1809,2.348,2.879,3.038,3.404,3.768
T1810,2.358,2.879,3.038,3.404,3.768
T1811,2.375,2.879,3.038,3.404,3.768
T1812,2.397,2.879,3.038,3.404,3.768
T1813,2.404,2.879,3.038,3.404,3.768
T1814,2.418,2.879,3.038,3.404,3.768
T1815,2.411,2.879,3.038,3.404,3.768
T1816,2.418,2.879,3.038,3.404,3.768
T1817,2.422,2.879,3.038,3.404,3.768
T1818,2.415,2.879,3.038,3.404,3.768
T1819,2.415,2.879,3.038,3.404,3.768
T1820,2.429,2.879,3.038,3.404,3.768
T1821,2.44,2.879,3.038,3.404,3.768
T1822,2.426,2.879,3.038,3.404,3.768
T1823,2.411,2.879,3.038,3.404,3.768
T1824,2.404,2.879,3.038,3.404,3.768
T1825,2.426,2.879,3.038,3.404,3.768
T1826,2.44,2.879,3.038,3.404,3.768
T1827,2.426,2.879,3.038,3.404,3.768
T1828,2.4,2.879,3.038,3.404,3.768
T1829,2.382,2.879,3.038,3.404,3.768
T1830,2.382,2.879,3.038,3.404,3.768
T1831,2.379,2.879,3.038,3.404,3.768
T1832,2.372,2.879,3.038,3.404,3.768
T1833,2.379,2.879,3.038,3.404,3.768
T1834,2.382,2.879,3.038,3.404,3.768
T1835,2.397,2.879,3.038,3.404,3.768
T1836,2.426,2.879,3.038,3.404,3.768
T1837,2.448,2.879,3.038,3.404,3.768
T1838,2.451,2.879,3.038,3.404,3.768
T1839,2.474,2.879,3.038,3.404,3.768
T1840,2.509,2.879,3.038,3.404,3.768
T1841,2.525,2.879,3.038,3.404,3.768
T1842,2.521,2.879,3.038,3.404,3.768
T1843,2.463,2.879,3.038,3.404,3.768
T1844,2.448,2.879,3.038,3.404,3.768
T1845,2.389,2.879,3.038,3.404,3.768
T1846,2.386,2.879,3.038,3.404,3.768
T1847,2.375,2.879,3.038,3.404,3.768
T1848,2.324,2.879,3.038,3.404,3.768
T1849,2.32,2.879,3.038,3.404,3.768
T1850,2.287,2.879,3.038,3.404,3.768
T1851,2.375,2.879,3.038,3.404,3.768
T1852,2.365,2.879,3.038,3.404,3.768
T1853,2.382,2.904,3.066,3.436,3.804
T1854,2.375,2.904,3.066,3.436,3.804
T1855,2.344,2.904,3.066,3.436,3.804
T1856,2.344,2.904,3.066,3.436,3.804
T1857,2.357,2.904,3.066,3.436,3.804
T1858,2.382,2.904,3.066,3.436,3.804
T1859,2.418,2.904,3.066,3.436,3.804
T1860,2.451,2.904,3.066,3.436,3.804
T1861,2.493,2.904,3.066,3.436,3.804
T1862,2.532,2.904,3.066,3.436,3.804
T1863,2.561,2.904,3.066,3.436,3.804
T1864,2.561,2.904,3.066,3.436,3.804
T1865,2.528,2.904,3.066,3.436,3.804
T1866,2.47,2.904,3.066,3.436,3.804
T1867,2.418,2.904,3.066,3.436,3.804
T1868,2.407,2.904,3.066,3.436,3.804
T1869,2.4,2.904,3.066,3.436,3.804
T1870,2.389,2.904,3.066,3.436,3.804
T1871,2.378,2.904,3.066,3.436,3.804
T1872,2.385,2.904,3.066,3.436,3.804
T1873,2.385,2.904,3.066,3.436,3.804
T1874,2.34,2.904,3.066,3.436,3.804
T1875,2.414,2.904,3.066,3.436,3.804
T1876,2.44,2.904,3.066,3.436,3.804
T1877,2.436,2.904,3.066,3.436,3.804
T1878,2.429,2.904,3.066,3.436,3.804
T1879,2.429,2.904,3.066,3.436,3.804
T1880,2.436,2.904,3.066,3.436,3.804
T1881,2.436,2.904,3.066,3.436,3.804
T1882,2.436,2.904,3.066,3.436,3.804
T1883,2.44,2.904,3.066,3.436,3.804
T1884,2.451,2.904,3.066,3.436,3.804
T1885,2.466,2.904,3.066,3.436,3.804
T1886,2.478,2.904,3.066,3.436,3.804
T1887,2.478,2.904,3.066,3.436,3.804
T1888,2.497,2.904,3.066,3.436,3.804
T1889,2.474,2.904,3.066,3.436,3.804
T1890,2.462,2.904,3.066,3.436,3.804
T1891,2.459,2.904,3.066,3.436,3.804
T1892,2.44,2.904,3.066,3.436,3.804
T1893,2.411,2.904,3.066,3.436,3.804
T1894,2.385,2.904,3.066,3.436,3.804
T1895,2.327,2.904,3.066,3.436,3.804
T1896,2.317,2.904,3.066,3.436,3.804
T1897,2.293,2.904,3.066,3.436,3.804
T1898,2.261,2.904,3.066,3.436,3.804
T1899,2.22,2.904,3.066,3.436,3.804
T1900,2.23,2.904,3.066,3.436,3.804
T1901,2.196,2.904,3.066,3.436,3.804
T1902,2.205,2.904,3.066,3.436,3.804
T1903,2.236,2.904,3.066,3.436,3.804
T1904,2.245,2.904,3.066,3.436,3.804
T1905,2.32,2.904,3.066,3.436,3.804
T1906,2.354,2.904,3.066,3.436,3.804
T1907,2.368,2.904,3.066,3.436,3.804
T1908,2.382,2.904,3.066,3.436,3.804
T1909,2.396,2.904,3.066,3.436,3.804
T1910,2.414,2.904,3.066,3.436,3.804
T1911,2.429,2.904,3.066,3.436,3.804
T1912,2.433,2.904,3.066,3.436,3.804
T1913,2.429,2.904,3.066,3.436,3.804
T1914,2.425,2.904,3.066,3.436,3.804
T1915,2.422,2.904,3.066,3.436,3.804
T1916,2.425,2.904,3.066,3.436,3.804
T1917,2.422,2.904,3.066,3.436,3.804
T1918,2.444,2.904,3.066,3.436,3.804
T1919,2.47,2.904,3.066,3.436,3.804
T1920,2.474,2.904,3.066,3.436,3.804
T1921,2.455,2.904,3.066,3.436,3.804
T1922,2.447,2.904,3.066,3.436,3.804
T1923,2.436,2.904,3.066,3.436,3.804
T1924,2.444,2.904,3.066,3.436,3.804
T1925,2.433,2.904,3.066,3.436,3.804
T1926,2.44,2.904,3.066,3.436,3.804
T1927,2.444,2.904,3.066,3.436,3.804
T1928,2.462,2.904,3.066,3.436,3.804
T1929,2.474,2.904,3.066,3.436,3.804
T1930,2.501,2.904,3.066,3.436,3.804
T1931,2.513,2.904,3.066,3.436,3.804
T1932,2.481,2.904,3.066,3.436,3.804
T1933,2.474,2.904,3.066,3.436,3.804
T1934,2.474,2.904,3.066,3.436,3.804
T1935,2.485,2.904,3.066,3.436,3.804
T1936,2.509,2.904,3.066,3.436,3.804
T1937,2.524,2.904,3.066,3.436,3.804
T1938,2.54,2.904,3.066,3.436,3.804
T1939,2.524,2.904,3.066,3.436,3.804
T1940,2.52,2.904,3.066,3.436,3.804
T1941,2.513,2.904,3.066,3.436,3.804
T1942,2.516,2.904,3.066,3.436,3.804
T1943,2.513,2.904,3.066,3.436,3.804
T1944,2.52,2.904,3.066,3.436,3.804
T1945,2.497,2.904,3.066,3.436,3.804
T1946,2.478,2.904,3.066,3.436,3.804
T1947,2.478,2.904,3.066,3.436,3.804
T1948,2.489,2.904,3.066,3.436,3.804
T1949,2.485,2.904,3.066,3.436,3.804
T1950,2.447,2.904,3.066,3.436,3.804
T1951,2.459,2.904,3.066,3.436,3.804
T1952,2.485,2.904,3.066,3.436,3.804
T1953,2.505,2.904,3.066,3.436,3.804
T1954,2.509,2.904,3.066,3.436,3.804
T1955,2.478,2.904,3.066,3.436,3.804
T1956,2.516,2.904,3.066,3.436,3.804
T1957,2.658,2.904,3.066,3.436,3.804
T1958,2.658,2.904,3.066,3.436,3.804
T1959,2.658,2.904,3.066,3.436,3.804
T1960,2.641,2.904,3.066,3.436,3.804
T1961,2.606,2.904,3.066,3.436,3.804
T1962,2.573,2.904,3.066,3.436,3.804
T1963,2.509,2.904,3.066,3.436,3.804
T1964,2.44,2.904,3.066,3.436,3.804
T1965,2.418,2.904,3.066,3.436,3.804
T1966,2.425,2.904,3.066,3.436,3.804
T1967,2.429,2.904,3.066,3.436,3.804
T1968,2.455,2.904,3.066,3.436,3.804
T1969,2.444,2.904,3.066,3.436,3.804
T1970,2.429,2.904,3.066,3.436,3.804
T1971,2.433,2.904,3.066,3.436,3.804
T1972,2.436,2.904,3.066,3.436,3.804
T1973,2.447,2.904,3.066,3.436,3.804
T1974,2.44,2.904,3.066,3.436,3.804
T1975,2.455,2.904,3.066,3.436,3.804
T1976,2.462,2.904,3.066,3.436,3.804
T1977,2.466,2.904,3.066,3.436,3.804
T1978,2.466,2.904,3.066,3.436,3.804
T1979,2.528,2.904,3.066,3.436,3.804
T1980,2.615,2.904,3.066,3.436,3.804
T1981,2.623,2.904,3.066,3.436,3.804
T1982,2.628,2.904,3.066,3.436,3.804
T1983,2.602,2.904,3.066,3.436,3.804
T1984,2.598,2.904,3.066,3.436,3.804
T1985,2.602,2.904,3.066,3.436,3.804
T1986,2.577,2.904,3.066,3.436,3.804
T1987,2.52,2.904,3.066,3.436,3.804
T1988,2.481,2.904,3.066,3.436,3.804
T1989,2.455,2.904,3.066,3.436,3.804
T1990,2.462,2.904,3.066,3.436,3.804
T1991,2.455,2.904,3.066,3.436,3.804
T1992,2.447,2.904,3.066,3.436,3.804
T1993,2.422,2.904,3.066,3.436,3.804
T1994,2.422,2.904,3.066,3.436,3.804
T1995,2.414,2.904,3.066,3.436,3.804
T1996,2.414,2.904,3.066,3.436,3.804
T1997,2.429,2.904,3.066,3.436,3.804
T1998,2.44,2.904,3.066,3.436,3.804
T1999,2.444,2.904,3.066,3.436,3.804
T2000,2.462,2.904,3.066,3.436,3.804
T2001,2.481,2.904,3.066,3.436,3.804
T2002,2.493,2.904,3.066,3.436,3.804
T2003,2.52,2.904,3.066,3.436,3.804
T2004,2.544,2.904,3.066,3.436,3.804
T2005,2.581,2.904,3.066,3.436,3.804
T2006,2.585,2.904,3.066,3.436,3.804
T2007,2.565,2.904,3.066,3.436,3.804
T2008,2.548,2.904,3.066,3.436,3.804
T2009,2.536,2.904,3.066,3.436,3.804
T2010,2.509,2.904,3.066,3.436,3.804
T2011,2.481,2.904,3.066,3.436,3.804
T2012,2.459,2.904,3.066,3.436,3.804
T2013,2.459,2.904,3.066,3.436,3.804
T2014,2.455,2.904,3.066,3.436,3.804
T2015,2.44,2.904,3.066,3.436,3.804
T2016,2.447,2.904,3.066,3.436,3.804
T2017,2.433,2.904,3.066,3.436,3.804
T2018,2.436,2.904,3.066,3.436,3.804
T2019,2.444,2.904,3.066,3.436,3.804
T2020,2.447,2.904,3.066,3.436,3.804
T2021,2.436,2.904,3.066,3.436,3.804
T2022,2.414,2.904,3.066,3.436,3.804
T2023,2.393,2.904,3.066,3.436,3.804
T2024,2.389,2.904,3.066,3.436,3.804
T2025,2.385,2.904,3.066,3.436,3.804
T2026,2.403,2.904,3.066,3.436,3.804
T2027,2.418,2.904,3.066,3.436,3.804
T2028,2.44,2.904,3.066,3.436,3.804
T2029,2.422,2.904,3.066,3.436,3.804
T2030,2.378,2.904,3.066,3.436,3.804
T2031,2.354,2.904,3.066,3.436,3.804
T2032,2.347,2.904,3.066,3.436,3.804
T2033,2.337,2.904,3.066,3.436,3.804
T2034,2.313,2.904,3.066,3.436,3.804
T2035,2.28,2.904,3.066,3.436,3.804
T2036,2.267,2.904,3.066,3.436,3.804
T2037,2.274,2.904,3.066,3.436,3.804
T2038,2.271,2.904,3.066,3.436,3.804
T2039,2.261,2.904,3.066,3.436,3.804
T2040,2.255,2.904,3.066,3.436,3.804
T2041,2.252,2.904,3.066,3.436,3.804
T2042,2.236,2.904,3.066,3.436,3.804
T2043,2.211,2.904,3.066,3.436,3.804
T2044,2.208,2.904,3.066,3.436,3.804
T2045,2.199,2.904,3.066,3.436,3.804
T2046,2.187,2.904,3.066,3.436,3.804
T2047,2.196,2.904,3.066,3.436,3.804
T2048,2.239,2.904,3.066,3.436,3.804
T2049,2.258,2.904,3.066,3.436,3.804
T2050,2.214,2.904,3.066,3.436,3.804
T2051,2.293,2.904,3.066,3.436,3.804
T2052,2.333,2.904,3.066,3.436,3.804
T2053,2.293,2.904,3.066,3.436,3.804
T2054,2.3,2.904,3.066,3.436,3.804
T2055,2.307,2.904,3.066,3.436,3.804
T2056,2.267,2.904,3.066,3.436,3.804
T2057,2.217,2.904,3.066,3.436,3.804
T2058,2.217,2.904,3.066,3.436,3.804
T2059,2.227,2.904,3.066,3.436,3.804
T2060,2.23,2.904,3.066,3.436,3.804
T2061,2.233,2.904,3.066,3.436,3.804
T2062,2.227,2.904,3.066,3.436,3.804
T2063,2.223,2.904,3.066,3.436,3.804
T2064,2.214,2.904,3.066,3.436,3.804
T2065,2.208,2.904,3.066,3.436,3.804
T2066,2.172,2.904,3.066,3.436,3.804
T2067,2.172,2.904,3.066,3.436,3.804
T2068,2.178,2.904,3.066,3.436,3.804
T2069,2.175,2.904,3.066,3.436,3.804
T2070,2.155,2.904,3.066,3.436,3.804
T2071,2.135,2.904,3.066,3.436,3.804
T2072,2.178,2.904,3.066,3.436,3.804
T2073,2.223,2.904,3.066,3.436,3.804
T2074,2.261,2.904,3.066,3.436,3.804
T2075,2.3,2.904,3.066,3.436,3.804
T2076,2.33,2.904,3.066,3.436,3.804
T2077,2.347,2.904,3.066,3.436,3.804
T2078,2.361,2.904,3.066,3.436,3.804
T2079,2.382,2.904,3.066,3.436,3.804
T2080,2.382,2.904,3.066,3.436,3.804
T2081,2.382,2.904,3.066,3.436,3.804
T2082,2.361,2.904,3.066,3.436,3.804
T2083,2.354,2.904,3.066,3.436,3.804
T2084,2.34,2.904,3.066,3.436,3.804
T2085,2.337,2.904,3.066,3.436,3.804
T2086,2.347,2.904,3.066,3.436,3.804
T2087,2.344,2.904,3.066,3.436,3.804
T2088,2.32,2.904,3.066,3.436,3.804
T2089,2.34,2.904,3.066,3.436,3.804
T2090,2.351,2.904,3.066,3.436,3.804
T2091,2.351,2.904,3.066,3.436,3.804
T2092,2.347,2.904,3.066,3.436,3.804
T2093,2.33,2.904,3.066,3.436,3.804
T2094,2.337,2.904,3.066,3.436,3.804
T2095,2.333,2.904,3.066,3.436,3.804
T2096,2.34,2.904,3.066,3.436,3.804
T2097,2.34,2.904,3.066,3.436,3.804
T2098,2.357,2.904,3.066,3.436,3.804
T2099,2.382,2.904,3.066,3.436,3.804
T2100,2.403,2.904,3.066,3.436,3.804
T2101,2.429,2.904,3.066,3.436,3.804
T2102,2.429,2.904,3.066,3.436,3.804
T2103,2.444,2.904,3.066,3.436,3.804
T2104,2.466,2.904,3.066,3.436,3.804
T2105,2.47,2.904,3.066,3.436,3.804
T2106,2.451,2.904,3.066,3.436,3.804
T2107,2.429,2.904,3.066,3.436,3.804
T2108,2.411,2.904,3.066,3.436,3.804
T2109,2.407,2.904,3.066,3.436,3.804
T2110,2.407,2.904,3.066,3.436,3.804
T2111,2.411,2.904,3.066,3.436,3.804
T2112,2.4,2.904,3.066,3.436,3.804
T2113,2.396,2.904,3.066,3.436,3.804
T2114,2.393,2.904,3.066,3.436,3.804
T2115,2.396,2.904,3.066,3.436,3.804
T2116,2.393,2.904,3.066,3.436,3.804
T2117,2.396,2.904,3.066,3.436,3.804
T2118,2.396,2.904,3.066,3.436,3.804
T2119,2.414,2.904,3.066,3.436,3.804
T2120,2.418,2.904,3.066,3.436,3.804
T2121,2.418,2.904,3.066,3.436,3.804
T2122,2.422,2.904,3.066,3.436,3.804
T2123,2.422,2.904,3.066,3.436,3.804
T2124,2.429,2.904,3.066,3.436,3.804
T2125,2.425,2.904,3.066,3.436,3.804
T2126,2.429,2.904,3.066,3.436,3.804
T2127,2.459,2.904,3.066,3.436,3.804
T2128,2.493,2.904,3.066,3.436,3.804
T2129,2.573,2.904,3.066,3.436,3.804
T2130,2.585,2.904,3.066,3.436,3.804
T2131,2.54,2.904,3.066,3.436,3.804
T2132,2.532,2.904,3.066,3.436,3.804
T2133,2.52,2.904,3.066,3.436,3.804
T2134,2.513,2.904,3.066,3.436,3.804
T2135,2.493,2.904,3.066,3.436,3.804
T2136,2.489,2.904,3.066,3.436,3.804
T2137,2.485,2.904,3.066,3.436,3.804
T2138,2.481,2.904,3.066,3.436,3.804
T2139,2.481,2.904,3.066,3.436,3.804
T2140,2.478,2.904,3.066,3.436,3.804
T2141,2.474,2.904,3.066,3.436,3.804
T2142,2.474,2.904,3.066,3.436,3.804
T2143,2.474,2.904,3.066,3.436,3.804
T2144,2.478,2.904,3.066,3.436,3.804
T2145,2.489,2.904,3.066,3.436,3.804
T2146,2.497,2.904,3.066,3.436,3.804
T2147,2.544,2.904,3.066,3.436,3.804
T2148,2.532,2.904,3.066,3.436,3.804
T2149,2.513,2.904,3.066,3.436,3.804
T2150,2.509,2.904,3.066,3.436,3.804
T2151,2.532,2.904,3.066,3.436,3.804
T2152,2.54,2.904,3.066,3.436,3.804
T2153,2.513,2.904,3.066,3.436,3.804
T2154,2.433,2.904,3.066,3.436,3.804
T2155,2.407,2.904,3.066,3.436,3.804
T2156,2.396,2.904,3.066,3.436,3.804
T2157,2.378,2.904,3.066,3.436,3.804
T2158,2.354,2.904,3.066,3.436,3.804
T2159,2.337,2.904,3.066,3.436,3.804
T2160,2.327,2.904,3.066,3.436,3.804
T2161,2.317,2.904,3.066,3.436,3.804
T2162,2.307,2.904,3.066,3.436,3.804
T2163,2.3,2.904,3.066,3.436,3.804
T2164,2.297,2.904,3.066,3.436,3.804
T2165,2.297,2.904,3.066,3.436,3.804
T2166,2.29,2.904,3.066,3.436,3.804
T2167,2.29,2.904,3.066,3.436,3.804
T2168,2.284,2.904,3.066,3.436,3.804
T2169,2.287,2.904,3.066,3.436,3.804
T2170,2.303,2.904,3.066,3.436,3.804
T2171,2.327,2.904,3.066,3.436,3.804
T2172,2.368,2.904,3.066,3.436,3.804
T2173,2.414,2.904,3.066,3.436,3.804
T2174,2.44,2.904,3.066,3.436,3.804
T2175,2.466,2.904,3.066,3.436,3.804
T2176,2.481,2.904,3.066,3.436,3.804
T2177,2.485,2.904,3.066,3.436,3.804
T2178,2.47,2.904,3.066,3.436,3.804
T2179,2.414,2.904,3.066,3.436,3.804
T2180,2.361,2.904,3.066,3.436,3.804
T2181,2.344,2.904,3.066,3.436,3.804
T2182,2.344,2.904,3.066,3.436,3.804
T2183,2.32,2.904,3.066,3.436,3.804
T2184,2.303,2.904,3.066,3.436,3.804
T2185,2.303,2.904,3.066,3.436,3.804
T2186,2.287,2.904,3.066,3.436,3.804
T2187,2.274,2.904,3.066,3.436,3.804
T2188,2.258,2.904,3.066,3.436,3.804
T2189,2.258,2.904,3.066,3.436,3.804
