timestep,HP_ambient,HP_industry,HR_small,HR_medium,HR_large
T0132,2.291,2.828,2.98,3.34,3.697
T0133,2.307,2.828,2.98,3.34,3.697
T0134,2.334,2.828,2.98,3.34,3.697
T0135,2.396,2.828,2.98,3.34,3.697
T0136,2.407,2.828,2.98,3.34,3.697
T0137,2.396,2.828,2.98,3.34,3.697
T0138,2.386,2.828,2.98,3.34,3.697
T0139,2.354,2.828,2.98,3.34,3.697
T0140,2.341,2.828,2.98,3.34,3.697
T0141,2.368,2.828,2.98,3.34,3.697
T0142,2.379,2.828,2.98,3.34,3.697
T0143,2.368,2.828,2.98,3.34,3.697
T0144,2.382,2.828,2.98,3.34,3.697
T0145,2.389,2.828,2.98,3.34,3.697
T0146,2.382,2.828,2.98,3.34,3.697
T0147,2.351,2.828,2.98,3.34,3.697
T0148,2.327,2.828,2.98,3.34,3.697
T0149,2.354,2.828,2.98,3.34,3.697
T0150,2.358,2.828,2.98,3.34,3.697
T0151,2.351,2.828,2.98,3.34,3.697
T0152,2.337,2.828,2.98,3.34,3.697
T0153,2.337,2.828,2.98,3.34,3.697
T0154,2.354,2.828,2.98,3.34,3.697
T0155,2.365,2.828,2.98,3.34,3.697
T0156,2.372,2.828,2.98,3.34,3.697
T0157,2.375,2.828,2.98,3.34,3.697
T0158,2.379,2.828,2.98,3.34,3.697
T0159,2.386,2.828,2.98,3.34,3.697
T0160,2.393,2.828,2.98,3.34,3.697
T0161,2.4,2.828,2.98,3.34,3.697
T0162,2.411,2.828,2.98,3.34,3.697
T0163,2.414,2.828,2.98,3.34,3.697
T0164,2.421,2.828,2.98,3.34,3.697
T0165,2.407,2.828,2.98,3.34,3.697
T0166,2.407,2.828,2.98,3.34,3.697
T0167,2.414,2.828,2.98,3.34,3.697
T0168,2.421,2.828,2.98,3.34,3.697
T0169,2.418,2.828,2.98,3.34,3.697
T0170,2.411,2.828,2.98,3.34,3.697
T0171,2.411,2.828,2.98,3.34,3.697
T0172,2.403,2.828,2.98,3.34,3.697
T0173,2.4,2.828,2.98,3.34,3.697
T0174,2.4,2.828,2.98,3.34,3.697
T0175,2.389,2.828,2.98,3.34,3.697
T0176,2.386,2.828,2.98,3.34,3.697
T0177,2.386,2.828,2.98,3.34,3.697
T0178,2.389,2.828,2.98,3.34,3.697
T0179,2.389,2.828,2.98,3.34,3.697
T0180,2.386,2.828,2.98,3.34,3.697
T0181,2.382,2.828,2.98,3.34,3.697
T0182,2.386,2.828,2.98,3.34,3.697
T0183,2.386,2.828,2.98,3.34,3.697
T0184,2.386,2.828,2.98,3.34,3.697
T0185,2.389,2.828,2.98,3.34,3.697
T0186,2.389,2.828,2.98,3.34,3.697
T0187,2.393,2.828,2.98,3.34,3.697
T0188,2.396,2.828,2.98,3.34,3.697
T0189,2.396,2.828,2.98,3.34,3.697
T0190,2.393,2.828,2.98,3.34,3.697
T0191,2.389,2.828,2.98,3.34,3.697
T0192,2.386,2.828,2.98,3.34,3.697
T0193,2.389,2.828,2.98,3.34,3.697
T0194,2.389,2.828,2.98,3.34,3.697
T0195,2.379,2.828,2.98,3.34,3.697
T0196,2.372,2.828,2.98,3.34,3.697
T0197,2.372,2.828,2.98,3.34,3.697
T0198,2.375,2.828,2.98,3.34,3.697
